"","ID","Sample.Plate","Species","Region","Site","CollectionDate","Season","Rain","Depth","propA","propB","propC","propD","dom","background","totalSym","use","count","X"
"1","urban_083","Sample 1_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",8.2,0.417623142,0,0.582376858,0,"C","",1,"y",1,NA
"2","urban_157b rex","Sample 2_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",6.6,0.444854527,0.002695128,0.102133038,0.450317308,"","B",1,"y",1,NA
"3","urban_160b","Sample 3_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.3,0.006228769,0.005426681,0.987584281,0.00076,"C","ABD",1,"y",1,NA
"4","urban_162b","Sample 4_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.3,0.41166529,0,0.588006081,0.000329,"C","D",1,"y",1,NA
"5","urban_164","Sample 5_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0.548442524,0.001197243,0.449625512,0.000735,"A","BD",1,"y",1,NA
"6","urban_165","Sample 6_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0.352861993,0.000341,0.064341464,0.582455609,"D","BC",1,"y",1,NA
"7","urban_167","Sample 7_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0.397050458,0.004537109,0.464755862,0.133656571,"","B",1,"y",1,NA
"8","urban_168","Sample 8_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0.44819369,0,0.550783524,0.001022786,"C","D",1,"y",1,NA
"9","urban_169","Sample 9_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0.279520163,0.000536,0.718788224,0.001155436,"C","BD",1,"y",1,NA
"10","urban_170","Sample 10_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0.398980944,0.002031883,0.598987173,0,"C","B",1,"y",1,NA
"11","urban_172","Sample 11_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0.337500222,0.000716,0.653973868,0.007809885,"C","BD",1,"y",1,NA
