Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate45_1-19-24.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.04811859,,,,N,Y,Y,N
A2,Sample 2,A,UNKNOWN,SYBR,None,32.77054214,32.77054214,,,,,FALSE,0.1,TRUE,3,28,88.67441559,,,,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49220276,,,,N,Y,Y,N
A4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,84.64461517,,,,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.46879578,,,,N,Y,Y,N
A6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34511948,,,,N,Y,Y,N
A7,Sample 7,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,69.11475372,,,,N,Y,Y,N
A8,Sample 8,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.64651489,,,,N,Y,Y,N
A9,Sample 9,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.66326141,,,,N,Y,Y,N
A10,Sample 10,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.21517944,,,,N,Y,Y,N
A11,Sample 11,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19524765,,,,N,Y,Y,N
A12,Sample 12,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.31832123,61.49393463,,,N,N,Y,Y
B1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34678268,,,,N,Y,Y,N
B2,Sample 2,A,UNKNOWN,SYBR,None,Undetermined,32.77054214,,,,,FALSE,0.1,TRUE,3,39,61.19745255,,,,N,N,Y,N
B3,Sample 3,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.31764984,,,,N,Y,Y,N
B4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.76576233,,,,N,Y,Y,N
B5,Sample 5,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,64.92971039,,,,N,N,Y,N
B6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34511948,,,,N,N,Y,N
B7,Sample 7,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,89.87646484,,,,N,N,Y,N
B8,Sample 8,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.32238007,,,,N,Y,Y,N
B9,Sample 9,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,66.8709259,,,,N,Y,Y,N
B10,Sample 10,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.31900787,,,,N,Y,Y,N
B11,Sample 11,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34458923,,,,N,N,Y,N
